,,,,,Life expectancy at birth for both sexes combined (years),,,,,,,,,,,,
119,Estimates,Cyprus,10,196,66.73,68.74,70.42,71.91,73.18,74.28,75.26,76.14,76.94,77.67,78.34,78.96,79.93
120,Estimates,Georgia,11,268,60.65,62.65,64.65,66.66,68.16,69.64,69.65,70.46,70.11,71.09,72.6,72.65,72.75
121,Estimates,Iraq,,368,37.94,44.92,50.88,56.35,59.51,61.72,58.99,64.33,67.39,69.07,68.88,68.01,69.19
122,Estimates,Israel,,376,68.87,70.04,70.98,71.77,72.57,73.52,74.63,75.94,77.2,78.31,79.56,80.94,81.91
123,Estimates,Jordan,,400,46.49,50.65,54.59,58.38,61.85,64.97,67.25,69.15,70.43,71.28,72.18,73,73.81
124,Estimates,Kuwait,,414,53.56,58.27,62,64.84,67.04,68.77,70.31,71.62,72.42,72.96,73.34,73.71,74.29
125,Estimates,Lebanon,,422,60.47,62.43,64.01,65.37,66.7,67.59,68.37,69.56,71.05,73.24,75.64,77.74,78.93
126,Estimates,Oman,,512,36.05,40.53,44.71,48.55,52.26,57.38,61.93,65.64,68.52,70.93,73.23,75.06,76.22
127,Estimates,Qatar,,634,55.26,59.2,62.95,66.64,69.73,71.78,73.37,74.54,75.34,75.97,76.55,76.97,77.68
128,Estimates,Saudi Arabia,,682,41.94,44.42,46.99,50.24,55.46,60.8,64.91,67.87,69.97,71.72,72.93,73.22,74
129,Estimates,State of Palestine,12,275,46.6,48.23,50.76,54.09,57.44,60.99,64.4,67.11,68.85,70.29,71.17,72.03,72.86
130,Estimates,Syrian Arab Republic,,760,47.6,50.52,53.49,56.85,60.79,64.22,67.18,69.63,71.28,72.54,73.58,74.45,69.87
131,Estimates,Turkey,,792,41.01,43.67,47.21,50.78,53.75,57.05,60.22,63.04,65.49,68.49,71.37,73.37,74.83
132,Estimates,United Arab Emirates,,784,43.86,49.58,54.81,59.7,63.44,66.42,68.81,70.74,72.25,73.6,74.84,75.93,76.71
133,Estimates,Yemen,,887,34.7,34.7,34.71,39.13,43.28,48.07,53.03,56.76,58.6,59.83,61,62.75,64.17
134,Estimates,EUROPE,,908,63.67,67.12,69.2,70.04,70.62,71.04,71.65,72.83,72.66,73.11,73.8,75.29,77.2
135,Estimates,Eastern Europe,,923,60.36,65.52,68.4,69.04,69.17,68.75,68.64,69.8,68.3,67.84,67.91,69.52,72.22
136,Estimates,Belarus,,112,60.69,66.31,69.09,70.36,70.51,70.41,70.14,71.37,69.45,67.44,67.83,69.26,72.15
137,Estimates,Bulgaria,,100,62.32,66.77,70.27,70.91,71.06,71.1,71.24,71.39,71.11,70.97,72.2,73.14,74.25
138,Estimates,Czechia,,203,66.87,69.59,70.35,69.98,70.04,70.64,70.78,71.46,72.49,74.23,75.53,76.98,78.17
139,Estimates,Hungary,,348,64.01,66.91,68.79,69.45,69.41,69.59,69.08,69.43,69.41,70.88,72.53,73.74,75.4
140,Estimates,Poland,,616,61.44,65.89,68.31,69.79,70.29,70.36,70.7,70.73,71.15,72.72,74.6,75.56,76.99
141,Estimates,Republic of Moldova,13,498,59.04,61.07,62.87,64.64,65.18,65.16,65.1,67.53,67.3,66.61,67.62,68.27,70.97
142,Estimates,Romania,,642,61.14,63.29,67.78,67.34,69.03,69.59,69.73,69.52,69.61,69.71,71.47,73.08,74.84
143,Estimates,Russian Federation,,643,58.52,64.8,67.88,68.47,68.31,67.57,67.47,69.13,66.58,65.7,64.95,67.14,70.3
144,Estimates,Slovakia,,703,64.43,68.65,70.63,70.32,70.07,70.48,70.63,70.96,71.6,72.74,73.82,74.77,76.31
145,Estimates,Ukraine,14,804,61.82,67.1,69.69,70.67,70.58,69.67,69.17,70.55,68.72,67.35,67.46,67.89,71.11
146,Estimates,Northern Europe,15,924,68.87,70.49,71.17,71.86,72.36,73.04,74.05,74.92,75.66,76.65,77.93,79.16,80.53
147,Estimates,Channel Islands,16,830,69.23,70.46,70.92,71.6,72.07,72.86,74.04,74.94,76.08,77,78.27,79.63,80.57
148,Estimates,Denmark,,208,71.06,72.07,72.4,72.93,73.63,74.24,74.44,74.75,75.23,76.14,77.34,78.58,80.14
149,Estimates,Estonia,,233,61.79,66.94,69.38,70.32,70.26,69.42,69.31,70.33,68.48,69.44,71.59,73.78,76.76
150,Estimates,Finland,17,246,66.4,68.19,69.07,69.72,70.94,72.72,74.33,74.79,75.84,77.14,78.4,79.54,80.69
151,Estimates,Iceland,,352,72.24,73.22,73.51,73.65,74.2,76.33,76.85,77.61,78.53,79.1,80.69,81.39,82.19
152,Estimates,Ireland,,372,66.88,69.14,70.12,70.75,71.23,72,73.18,74.22,75.35,76.04,77.83,79.68,80.85
153,Estimates,Latvia,,428,62.4,67.58,70.09,70.48,69.98,68.91,69.07,70.41,67.66,68.7,70.75,71.55,73.92
154,Estimates,Lithuania,,440,60.83,66.87,69.88,71.29,71.19,70.67,70.53,71.57,69.73,70.27,71.64,71.87,73.99
155,Estimates,Norway,18,578,72.8,73.48,73.47,73.91,74.43,75.3,76.01,76.28,77.29,78.29,79.33,80.6,81.61
156,Estimates,Sweden,,752,71.86,72.89,73.5,74.12,74.79,75.34,76.4,77.16,78.17,79.3,80.13,81.06,81.89
157,Estimates,United Kingdom,,826,69.41,70.61,71.04,71.71,72.21,73.01,74.19,75.13,76.24,77.17,78.41,79.69,80.97
158,Estimates,Southern Europe,19,925,63.75,66.26,68.24,69.79,71.31,72.74,74.08,75.31,76.22,77.48,78.76,80.02,81.09
159,Estimates,Albania,,8,55.26,59.31,64.85,66.24,67.69,69.7,70.61,71.98,71.69,73.03,74.82,75.64,77.66
160,Estimates,Bosnia and Herzegovina,,70,53.67,58.46,61.93,64.73,67.56,69.88,70.73,71.96,70.13,73.6,74.83,75.53,76.3
161,Estimates,Croatia,,191,61.27,63.64,65.73,67.48,69.06,69.92,70.6,71.89,72.81,74.57,74.94,76.09,77.05
162,Estimates,Greece,,300,65.75,67.17,69.25,70.13,71.83,72.85,74.52,75.66,77.38,78.07,79.12,80.01,80.62
163,Estimates,Italy,,380,66.52,68.44,69.69,70.94,72.22,73.55,74.87,76.38,77.47,78.8,80.28,81.5,82.34
164,Estimates,Malta,,470,66.13,67.82,69.34,70.74,72.03,73.22,74.36,75.49,76.53,77.53,78.48,79.4,80.28
165,Estimates,Montenegro,,499,59.77,62.11,65.6,68.35,71.27,72.53,73.63,74.23,74.73,73.4,73.39,74.19,76.39
166,Estimates,Portugal,,620,60.3,62.37,64.46,66.37,68.33,70.4,72.52,74.04,74.89,76,77.58,79.28,80.5
167,Estimates,Serbia,20,688,59.12,61.6,64.26,66.72,68.53,69.54,70.2,71.14,71.74,71.91,72.36,73.33,74.65
168,Estimates,Slovenia,,705,65.61,67.89,69.15,69.19,69.82,70.98,71.23,72.68,73.74,75.26,76.66,78.55,80.31
169,Estimates,Spain,21,724,64.59,67.74,69.91,71.37,72.65,74.4,76.1,76.85,77.62,78.77,79.9,81.21,82.51
170,Estimates,TFYR Macedonia,22,807,54.9,58.96,62.12,65.02,67.31,68.45,68.91,70.67,71.54,72.65,73.78,74.17,75.15
171,Estimates,Western Europe,23,926,67.75,69.35,70.49,71.11,71.81,72.98,74.19,75.49,76.53,77.73,78.94,80.18,81.08
172,Estimates,Austria,,40,66.54,68.02,69.66,70.14,70.8,72.14,73.28,75,76.15,77.53,78.92,80.13,80.99
173,Estimates,Belgium,,56,67.81,69.46,70.3,70.71,71.5,72.66,73.91,75.27,76.4,77.39,78.38,79.57,80.52
174,Estimates,France,,250,67.06,69.2,70.66,71.33,72.32,73.5,74.62,75.94,77.2,78.28,79.43,80.82,81.89
175,Estimates,Germany,,276,67.52,68.91,69.98,70.67,71.15,72.3,73.65,74.99,75.98,77.31,78.62,79.73,80.45
176,Estimates,Luxembourg,,442,65.98,67.54,69.12,69.78,70.25,71.44,72.88,74.5,75.77,76.99,78.32,79.51,81.15
177,Estimates,Netherlands,,528,71.93,72.94,73.46,73.64,74.11,75.17,76.14,76.72,77.26,77.84,78.67,80.18,81.31
178,Estimates,Switzerland,,756,69.34,70.71,71.59,72.58,73.71,75.19,76.09,77.23,77.93,79.23,80.49,81.78,82.69
179,Estimates,LATIN AMERICA AND THE CARIBBEAN,,904,51.27,54.17,56.77,58.93,61.15,63.02,64.89,66.66,68.42,70.45,72.13,73.44,74.65
180,Estimates,Caribbean,24,915,52.05,55.26,58.35,61.01,63.04,64.47,65.53,66.83,67.72,68.92,69.96,71.3,72.45
181,Estimates,Antigua and Barbuda,,28,58.53,60.94,63.19,65.02,66.72,68.18,69.53,70.8,71.88,73,74.06,74.99,75.81
182,Estimates,Aruba,,533,60.44,64.38,66.58,68.22,70.04,71.55,72.87,73.32,73.56,73.69,73.97,74.67,75.37
183,Estimates,Bahamas,,44,60.03,61.99,63.71,65.24,66.61,67.93,69.08,70.2,71.12,71.66,73.17,74.31,75.15
184,Estimates,Barbados,,52,57.21,59.81,62.17,64.6,66.41,67.95,69.46,70.77,71.94,72.96,73.76,74.57,75.37
185,Estimates,Cuba,,192,59.4,62.35,65.35,68.49,70.98,73.1,74.24,74.64,74.79,76.17,77.16,78.66,79.16
186,Estimates,Cura?ao,,531,60.65,64.34,66.48,68.16,69.91,72.15,73.66,74.44,74.54,74.58,75,76.12,77.77
187,Estimates,Dominican Republic,,214,45.95,49.9,53.58,56.92,59.84,62.01,63.99,66.5,69.01,70.04,71.09,72.19,73.19
188,Estimates,Grenada,,308,56.34,58.91,61.12,63,64.6,65.95,67.11,68.16,69.01,69.83,70.89,72,73.17
189,Estimates,Guadeloupe,25,312,53.34,57.19,60.52,63.64,66.22,68.63,70.8,72.77,74.6,76.3,77.88,79.32,80.54
190,Estimates,Haiti,,332,37.48,40.62,43.53,46.22,48.1,50.07,51.65,53.73,55.43,57.13,58.34,60.23,62.29
191,Estimates,Jamaica,,388,58.6,62.71,65.72,67.61,69,70.74,72.03,72.11,72.02,72.09,72.77,74.2,75.45
192,Estimates,Martinique,,474,55.57,58.88,61.86,64.65,67.26,69.7,71.88,73.86,75.68,77.37,78.94,80.11,81.2
193,Estimates,Puerto Rico,,630,63.53,67.91,69.12,70.74,72.35,73.53,73.92,74.58,73.84,74.89,76.78,77.85,79.22
194,Estimates,Saint Lucia,,662,52.55,55.18,59.42,61.6,64.53,67.44,69.99,70.75,71.32,71.15,72.07,73.99,74.81
195,Estimates,Saint Vincent and the Grenadines,,670,51.08,55.12,60.81,63.97,65.86,66.69,68.43,69.61,70.5,70.62,70.71,71.84,72.74
196,Estimates,Trinidad and Tobago,,780,57.88,60.82,64.08,64.77,65.45,66.67,67.27,67.76,68.22,68.44,68.68,69.28,70.24
197,Estimates,United States Virgin Islands,,850,62.9,65.5,66.83,68.3,69.79,71.15,72.3,73.6,74.82,76.08,77.09,77.82,79.1
198,Estimates,Central America,,916,49.1,53.25,56.47,58.62,61.06,63.6,65.91,68.3,70.53,72.5,73.87,74.85,75.79
199,Estimates,Belize,,84,55.92,58.64,61.35,64.26,66.72,68.66,70.35,71.46,70.57,68.59,68.52,69.58,69.76
200,Estimates,Costa Rica,,188,56,58.75,62.37,65.17,67.7,70.49,73.42,75.09,76.07,77.03,77.81,78.41,79.16
201,Estimates,El Salvador,,222,44.26,48.12,51.58,53.93,55.75,56.21,57.15,61.55,66.07,68.02,69.57,71.13,72.63
202,Estimates,Guatemala,,320,42.92,45.46,48.01,50.93,53.97,56.19,58.4,60.98,63.6,66.55,68.94,70.5,72.44
203,Estimates,Honduras,,340,41.79,44.59,48,51.05,54.09,57.71,61.59,65.45,67.73,69.88,71.01,72.01,72.88
204,Estimates,Mexico,,484,50.7,55.27,58.47,60.29,62.57,65.31,67.72,69.83,71.81,73.67,74.9,75.72,76.48
205,Estimates,Nicaragua,,558,42.29,45.43,48.66,51.96,55.26,57.61,59.46,62.18,66.11,68.49,70.91,72.83,74.47
206,Estimates,Panama,,591,56.8,59.5,62.15,64.36,66.74,69.22,71,72.38,73.55,74.6,75.54,76.36,77.32
207,Estimates,South America,26,931,51.94,54.37,56.69,58.78,60.94,62.64,64.46,66.1,67.78,69.89,71.74,73.2,74.5
208,Estimates,Argentina,,32,62.54,64.55,65.27,65.8,67.24,68.67,70.17,71.02,72.15,73.28,74.34,75.18,76.01
209,Estimates,Bolivia (Plurinational State of),,68,40.02,41.39,42.95,44.72,46.69,48.86,51.22,53.77,56.47,59.27,62.11,64.95,67.72
210,Estimates,Brazil,,76,50.83,52.99,55.54,57.99,60.13,61.32,62.72,64.4,66.34,68.9,71.1,72.91,74.66
211,Estimates,Chile,,152,54.64,56.38,58.32,60.82,63.94,67.38,70.57,72.7,74.56,76.1,77.37,78.13,78.82
212,Estimates,Colombia,,170,50.65,55.17,57.95,60.08,61.76,63.99,66.86,67.99,68.66,70.3,71.67,72.86,73.74
213,Estimates,Ecuador,,218,48.65,51.59,54.75,56.78,58.89,61.67,64.56,67.63,70.17,72.1,73.62,74.57,75.54
214,Estimates,French Guiana,,254,53.32,56.14,59.53,64.37,65.73,66.54,69.2,71.06,72.75,74.24,76.09,77.97,79.18
215,Estimates,Guyana,,328,58.83,59.81,60.69,61.55,61.96,62.31,62.68,62.98,63.69,64.56,65.25,65.79,66.26
216,Estimates,Paraguay,,600,62.73,63.29,64.47,65.04,65.93,66.51,67.07,67.59,68.49,69.4,70.76,71.75,72.74
217,Estimates,Peru,,604,43.91,46.28,49.12,51.49,55.52,58.53,61.55,64.29,66.75,69.27,71.6,73.15,74.16
218,Estimates,Suriname,,740,55.98,58.68,60.51,62.42,64,65.11,66.53,67.13,67.6,67.82,68.06,69.63,70.9
219,Estimates,Uruguay,,858,66.11,67.11,68.34,68.55,68.77,69.58,70.98,72.12,73.03,74.23,75.33,76.2,76.96
220,Estimates,Venezuela (Bolivarian Republic of),,862,54.84,57.77,60.68,63.27,65.72,67.37,68.71,69.47,70.23,71.62,72.82,73.35,73.95
221,Estimates,NORTHERN AMERICA,27,905,68.72,69.7,70.2,70.51,71.56,73.35,74.51,75.08,75.85,76.68,77.41,78.42,79.17
222,Estimates,Canada,,124,69.05,70.32,71.34,72.15,73.01,74.31,75.85,76.83,77.75,78.57,79.69,80.76,81.77
223,Estimates,United States of America,,840,68.71,69.67,70.11,70.37,71.42,73.25,74.38,74.9,75.65,76.48,77.17,78.16,78.88
224,Estimates,OCEANIA,,909,61.57,63.36,64.41,65.41,66.87,68.67,70.44,71.42,73.05,74.2,75.66,77.02,77.92
225,Estimates,Australia/New Zealand,,927,69.45,70.47,70.93,70.92,71.76,73.41,74.85,75.88,77.46,78.62,80.12,81.28,82.14
226,Estimates,Australia,28,36,69.39,70.43,70.88,70.84,71.76,73.59,75.09,76.18,77.69,78.84,80.33,81.48,82.3
227,Estimates,New Zealand,,554,69.77,70.69,71.18,71.27,71.78,72.63,73.77,74.45,76.35,77.57,79.07,80.32,81.32
228,Estimates,Melanesia,,928,40.5,43.27,45.54,49.15,52.19,55.47,58.43,59.2,60.78,62.2,63.67,65.21,66.12
229,Estimates,Fiji,,242,52.21,54.73,56.91,58.93,60.71,62.24,63.68,64.93,66.05,67.07,68,68.8,69.72
230,Estimates,New Caledonia,,540,50.74,54.6,58.03,61.04,63.69,66.02,68.07,69.88,71.45,72.82,74.06,75.16,76.26
231,Estimates,Papua New Guinea,,598,38.32,40.93,43.04,46.88,50.12,53.72,57.12,58.07,59.71,61.1,62.59,64.18,64.97
232,Estimates,Solomon Islands,,90,45.39,47.92,50.44,52.97,55.52,58.02,58.75,55.84,58.33,61.46,64.69,67.37,69.6
233,Estimates,Vanuatu,,548,41.94,44.94,47.95,50.94,53.8,56.78,59.79,61.93,64.21,66.42,68.36,69.99,71.36
234,Estimates,Micronesia,29,954,53.5,55.43,57.69,59.79,61.92,63.5,64.59,65.99,67.55,69.39,70.92,71.94,72.81
235,Estimates,Guam,,316,57.13,59.67,62.24,64.57,66.66,68.45,70,71.34,72.54,74.09,75.92,77.36,78.84
236,Estimates,Kiribati,,296,46.38,47.99,50.63,53.03,55.54,56.64,57.32,59.14,61.59,63.28,64.54,65.08,65.68
237,Estimates,Micronesia (Fed. States of),,583,54.58,56.58,58.58,60.59,62.69,64.77,65.35,65.93,66.49,67.05,67.58,68.35,68.79
238,Estimates,Polynesia,30,957,50.4,53.91,56.08,58.31,60.28,62.25,64.81,66.72,68.51,70.13,71.58,73.2,74.54
239,Estimates,French Polynesia,,258,48.94,54.86,57.11,59.28,61.04,62.83,66.28,67.97,69.46,71.44,73.17,75.01,76.14
240,Estimates,Samoa,,882,45.93,48.5,51,53.53,56.03,58.54,61.05,63.5,66.17,68.46,70.1,72.05,74.09
241,Estimates,Tonga,,776,58.65,60.47,62.31,64.03,65.65,66.85,68.09,69.25,69.87,70.47,71.16,71.84,72.51
